,ra,dec,redshift,plate,fiberid,PCA_1,PCA_2,PCA_3,class
0,0.6938322733353387,0.07402547292978771,0.0007702735428619058,0.3732809430255402,0.4904904904904905,0.38588626905416096,0.0693479470371709,0.3876853494359231,2
1,0.6940976404072505,0.07464220698407241,0.000761699432172782,0.006999017681728878,0.5405405405405406,0.4481096106594878,0.2152638017219096,0.4155564841443429,2
2,0.6944215554391,0.07451910989151772,0.023749069361378536,0.0025785854616895906,0.5125125125125125,0.518964263336699,0.15451114990307163,0.4909592458328428,0
3,0.6951748605703019,0.07348732751294898,0.0007513007567014012,0.3732809430255402,0.5095095095095096,0.3887845491349865,0.27963844353587197,0.45285205432533904,2
4,0.6952253610108106,0.07419948361311439,0.0008821283599248948,0.3732809430255402,0.5115115115115115,0.41710274120665336,0.3576133989606504,0.35391823633030106,2
5,0.6950824170063243,0.07516177661604242,0.000830662419155006,0.007121807465618864,0.5935935935935936,0.5937347063565923,0.2215516300787638,0.42006081245240917,2
6,0.695150516942771,0.0730719062561242,0.019480883032721434,0.0025785854616895906,0.5585585585585586,0.4838234818555597,0.1334521732887321,0.4728787188237964,0
7,0.6952918290407744,0.07534817028569567,0.0008307081452568527,0.3732809430255402,0.5145145145145146,0.5145103843153744,0.21669466794819256,0.440919243390373,2
8,0.6953888295146076,0.0741276408355087,0.0007885751818295919,0.006999017681728878,0.5945945945945946,0.4369787488619348,0.2960096337524306,0.4587230329469234,2
9,0.6955824148663954,0.07391634260660579,0.008332267762739968,0.0027013752455795695,0.3993993993993994,0.5163111966268181,0.25784192417024016,0.45027490737663783,0
10,0.6956049631197315,0.07465184906705341,0.0007654881663257905,0.3732809430255402,0.5055055055055055,0.4996991152871152,0.16971123516840927,0.4175863922212644,2
11,0.6960250577246028,0.07432871301038403,0.0008881785764292338,0.3732809430255402,0.5465465465465466,0.4729459967042312,0.20595184515850548,0.43560163151679554,2
12,0.6960914216576942,0.07540278813589507,0.0007821548638560206,0.3732809430255402,0.5435435435435435,0.5494232009378613,0.1749624257831638,0.404505379578199,2
13,0.6963226208113145,0.07383544605931043,0.0007734949000777152,0.3732809430255402,0.5455455455455456,0.48426195960444796,0.12715784954102305,0.3953640718090548,2
14,0.6964376561672438,0.07415789702879763,0.014226125261592917,0.0027013752455795695,0.3883883883883884,0.43755229543764945,0.11486504264440053,0.4766384420640053,0
15,0.6970751913273254,0.07561541754012299,0.05152547391484737,0.0025785854616895906,0.5865865865865866,0.5984277688174956,0.2849271181712279,0.546239648067101,1
16,0.6965651981884751,0.07344734769446294,0.0008111347607463785,0.007121807465618864,0.03403403403403404,0.5701030451049621,0.2575762982411882,0.40378255972835614,2
17,0.6966596655064777,0.07549404508978771,0.22064879941720564,0.0025785854616895906,0.5825825825825826,0.685450221357731,0.2961416119853693,0.4927490032452053,1
18,0.697226480101245,0.07373591416669886,0.0008167570182648628,0.006999017681728878,0.6276276276276277,0.46841649153074644,0.17910322631063696,0.4200631802159507,2
19,0.6971950115771353,0.07517027992166449,0.014353915718468039,0.0025785854616895906,0.6316316316316316,0.41286332854453334,0.28109351572889724,0.499117273608893,0
20,0.6975351431601614,0.07432675560490776,0.0007215130942241359,0.007121807465618864,0.6226226226226227,0.5944785220050337,0.22551327248663358,0.4251999011727483,2
21,0.6979410726742731,0.07466664331135991,0.0007653201928904355,0.0027013752455795695,0.42942942942942947,0.37852214846458593,0.30644614442784035,0.4481815495743667,2
22,0.6982765551247391,0.07447160700548976,0.17344365414481827,0.0027013752455795695,0.42042042042042044,0.6228434560859195,0.2800990283398516,0.45637405651750884,1
23,0.6982948619252815,0.07497565993020085,0.0007727502178476411,0.2814341846758349,0.3553553553553554,0.4511436268345017,0.2205425207953512,0.42130789647919353,2
24,0.6977329711521597,0.07478105809229627,0.000788369880964158,0.3732809430255402,0.5945945945945946,0.5972227767066944,0.2598074731951115,0.3927480881924914,2
25,0.6981356198336653,0.07390214829549166,0.022567973482536932,0.0027013752455795695,0.4364364364364365,0.4304632042508407,0.0965983859329038,0.4458161115036999,0
26,0.6981706280472427,0.07299119427452166,0.004746669484220721,0.0025785854616895906,0.6366366366366366,0.4600237785602351,0.23670804939823506,0.46252231514214853,0
27,0.6983659739423327,0.07361625814754698,0.0008046754356083747,0.2814341846758349,0.35735735735735735,0.34623305358008005,0.2621533023631374,0.41501463368477715,2
28,0.6985053279900404,0.07371270781743731,0.0008041183237144471,0.3732809430255402,0.6316316316316316,0.3934004537200505,0.2909472480701798,0.45015742628475414,2
29,0.6987358226096952,0.07549070349572419,0.0008689612956017123,0.2814341846758349,0.3483483483483484,0.4617652621547527,0.27841112788407185,0.45156600259628604,2
30,0.6987852737695622,0.07471923565994572,0.022598152709755726,0.0027013752455795695,0.4734734734734735,0.4716230039400062,0.15828130035340648,0.49456820329909595,0
31,0.6987158399682487,0.07390768803936124,0.013478201144216453,0.0027013752455795695,0.47047047047047047,0.5479754324129303,0.22072027844491107,0.41980359601333084,0
32,0.6991054820819815,0.07475291841190657,0.0007973185724141237,0.2814341846758349,0.3403403403403404,0.416623818197843,0.22095575263786507,0.4410447305716774,2
33,0.6991078260427359,0.07475254369376988,0.0008014507189238583,0.28266208251473474,0.3823823823823824,0.3991524270253051,0.2723817071691391,0.4238296431089995,2
34,0.6991527036689121,0.0732593951995254,0.0007407068587707078,0.2814341846758349,0.35435435435435436,0.5578439570244449,0.2450361132222404,0.4306065496432365,2
35,0.6991558139093054,0.07531676104380726,0.0009011786005028133,0.2814341846758349,0.3863863863863864,0.44693589885236207,0.27116570785269983,0.46697429447438,2
36,0.6994751146394873,0.07492729679273123,0.0008287508814606654,0.2814341846758349,0.3853853853853854,0.3998376703165458,0.24126624287278095,0.43564645888323233,2
37,0.6989812054569381,0.07341151898079654,0.028886611536573285,0.0027013752455795695,0.4784784784784785,0.42692907459204904,0.07483091498062489,0.45860723355503563,0
38,0.6995353950405295,0.07413451888355992,0.0008798743430595803,0.2814341846758349,0.3943943943943944,0.46315173747491645,0.1895102151578454,0.43641208462332937,2
39,0.6996227089639504,0.07428881996915684,0.000903475730549869,0.2814341846758349,0.3993993993993994,0.4187894538890812,0.31051184335907445,0.45361732036586033,2
40,0.6996503377779489,0.07375534471094888,0.0006457427038184223,0.4395874263261296,0.15915915915915915,0.5350576304457837,0.24539113358959427,0.452069816674104,2
41,0.699902917162584,0.07473903311711369,0.0006780195459704991,0.2814341846758349,0.3893893893893894,0.483912778358969,0.22210980993640042,0.44568072974037737,2
42,0.6999854172983156,0.07416427354081637,0.0007861488988744632,0.2814341846758349,0.3963963963963964,0.4671410635828289,0.26498498785238483,0.4442214500335162,2
43,0.6997537613850348,0.07410194336342915,0.022867059516044144,0.0027013752455795695,0.49549549549549554,0.5111793541033847,0.1790816720813273,0.4838662498518396,0
44,0.6997893953672633,0.075202133601096,0.030172821458517077,0.0027013752455795695,0.5135135135135135,0.48972595520489126,0.16596931512272461,0.49481045355015735,0
45,0.7002959766618544,0.073818033197928,0.3823230443093031,0.0027013752455795695,0.5155155155155156,0.48487193901914005,0.3543030349752828,0.5600968845042377,1
46,0.7005044700315104,0.07491151792751811,0.000818659410738834,0.2814341846758349,0.43043043043043044,0.5495675406823682,0.25348938081278727,0.4408693321032544,2
47,0.7001865486838391,0.07377956163989485,0.030356976334811346,0.0027013752455795695,0.5015015015015015,0.41681066097777003,0.07178122142132518,0.45947814677892695,0
48,0.7005581266258616,0.07294879306615128,0.0008795802029105586,0.28266208251473474,0.2692692692692693,0.586779517244903,0.22961458451894293,0.4294692807953555,2
49,0.7011385486213001,0.0755284942411837,0.000837231113663141,0.2814341846758349,0.4214214214214214,0.35137324498379047,0.22901531463728353,0.4397408095618999,2
